,x,y,0,1,2,3
0,8,0,65.99999987959795,66.66999999999993,65.32999943379714,65.32999991388418
1,7,0,65.3299998890551,65.99999999999986,64.65999964891323,64.6597316401516
2,6,0,64.64547943466016,65.32999999999979,63.98999999999968,63.9798511184721
3,7,1,65.32999999999979,65.32999999999979,-1.3400000424056708,63.98999789563439
4,8,1,65.99999999999986,65.99999999999986,-0.6700372053413581,64.65966433116868
5,9,0,0.0,0.0,0.0,0.0
6,9,1,66.66999999999993,65.99999999999986,65.32999999999979,65.32999999999979
7,9,2,65.99999999999986,65.32999999999979,64.65999999999971,-0.6700000000001443
8,9,3,65.32999999999979,64.65999999999971,63.98999999999968,63.98999999999968
9,8,3,-2.010000000000291,64.65999999999971,63.31999999999965,63.31999999999965
10,9,4,64.65999999999971,63.989999984221534,63.989999930646775,63.319999959242175
11,8,4,63.98999999999968,63.98999999999968,63.31999999998121,62.64999999999866
12,7,3,-2.6800000000003212,63.98999999999968,62.64999999999962,62.64999999999962
13,6,3,-3.3500000000003514,63.31999999999965,61.97999999999959,61.97999999999959
14,7,4,63.31999999999965,63.31999999999965,62.649999999998926,61.97999999999387
15,6,4,62.64999999999962,62.64999999999962,61.979999999997645,61.30999999999896
16,5,4,61.97999999999959,61.97999999999959,61.3099999999944,60.63999999886418
17,5,3,-4.020000000000383,62.64999999999962,61.30999999999956,61.30999999999956
18,4,4,61.30999999999956,61.30999999999956,60.639999999999205,59.9699999999995
19,3,4,60.63999999999953,60.63999999999953,59.9699999999995,59.29999999999947
20,2,4,59.9699999999995,59.9699999999995,59.29999999999947,58.62999999999944
21,3,3,59.9699999999995,61.30999999999956,59.9699999999995,59.9699999999995
22,2,3,-6.030000000000474,60.63999999999953,59.29999999999947,59.29999999999947
23,4,3,-4.690000000000413,61.97999999999959,60.63999999999953,60.63999999999953
24,3,2,59.29999999999947,-6.030000000000474,60.63999999999953,-6.030000000000474
25,3,1,58.62999999999944,-6.700000000000504,59.9699999999995,58.62999999999944
26,1,3,-6.700000000000504,59.9699999999995,58.62999999999944,58.62999999999944
27,0,3,-7.370000000000527,59.29999999999947,57.95999999999934,58.62999999999944
28,0,4,58.62999999999944,58.62999999999944,57.95999999999941,57.95999999999941
29,1,4,59.29999999999947,59.29999999999947,58.62999999999944,57.95999999999941
30,2,1,57.95999999999941,59.29999999999947,-7.370000000000574,57.959999997946234
31,1,1,57.28999999999938,58.62999999999944,-8.04000000326389,57.28999891843164
32,0,1,-8.710022175624012,57.95999999999941,-8.710344168539969,57.28990811525613
33,3,0,58.62999996436393,-7.3700000020197525,59.29999999999947,57.95999994027142
34,2,0,57.95999999308316,58.62999999999944,58.62999999999944,57.28999965859939
35,1,0,57.28954129148046,57.95999999999941,56.753881042282735,-8.710226467244828
36,5,0,63.29725506166054,64.65999999999971,62.74410859268994,-2.050734959299724
37,6,1,64.65999999999971,64.65999999999971,-2.0100008583430586,63.319812387347355
38,5,1,63.89726481695954,63.98999999999968,-2.691561516676448,-2.6890121569072876
