,x,y,0,1,2,3
0,98,0,6.5999999999999925,6.669999999999996,6.529999999999989,6.529999999999989
1,99,0,0.0,0.0,0.0,0.0
2,97,0,6.529999999999989,6.5999999999999925,6.459999999999985,6.459999999999985
3,96,0,6.459999999999985,6.529999999999989,6.389999999999981,6.389999999999981
4,96,1,6.459999999999985,6.459999999999985,6.319999999999977,6.319999999999977
5,98,1,6.5999999999999925,6.5999999999999925,6.459999999999985,6.459999999999985
6,99,1,6.669999999999996,6.5999999999999925,-3.552713678800504e-15,6.529999999999989
7,97,1,6.529999999999989,6.529999999999989,6.389999999999981,6.389999999999981
8,98,2,6.529999999999989,-0.14000000000001134,6.389999999999981,6.389999999999981
9,97,2,6.459999999999985,6.459999999999985,6.319999999999977,6.319999999999977
10,98,3,6.459999999999985,6.319999999999977,6.319999999999977,6.319999999999977
11,99,3,-0.2800000000000191,6.319999999999977,6.249999999999973,6.389999999999981
12,98,4,6.389999999999981,6.249999999999973,-0.2800000000000191,6.249999999999973
13,99,4,6.319999999999977,6.249999999999973,6.1799999999999695,6.319999999999977
14,99,5,6.249999999999973,6.1799999999999695,6.109999999999966,-0.4200000000000268
15,99,6,6.1799999999999695,6.109999999999966,6.039999999999962,6.039999999999962
16,98,6,-0.5600000000000347,6.109999999999966,5.969999999999958,6.109999999999966
17,97,6,6.1799999999999695,6.039999999999962,6.039999999999962,-0.49000000000003063
18,99,7,6.109999999999966,6.039999999999962,5.969999999999958,5.969999999999958
19,98,7,6.039999999999962,6.039999999999962,5.899999999999954,6.039999999999962
20,98,8,5.969999999999958,5.969999999999958,5.82999999999995,5.969999999999958
21,99,8,6.039999999999962,5.969999999999958,5.899999999999954,5.899999999999954
22,97,4,6.319999999999977,6.319999999999977,6.1799999999999695,-0.35000000000002296
23,97,3,6.389999999999981,6.389999999999981,6.249999999999973,-0.2800000000000191
24,96,2,6.389999999999981,6.389999999999981,-0.2800000000000191,6.249999999999973
25,95,2,6.319999999999977,6.319999999999977,6.1799999999999695,-0.35000000000002296
26,95,1,6.389999999999981,6.389999999999981,6.249999999999973,-0.2800000000000191
27,95,0,6.389999999999981,6.459999999999985,6.319999999999977,6.319999999999977
28,97,5,6.249999999999973,-0.4200000000000268,6.109999999999966,-0.4200000000000268
29,94,0,6.319999999999977,6.389999999999981,-0.2800000000000191,6.249999999999973
30,93,0,6.249999999999973,6.319999999999977,6.1799999999999695,6.1799999999999695
31,92,0,6.1799999999999695,6.249999999999973,6.109999999999966,6.109999999999966
32,93,1,6.249999999999973,-0.4200000000000268,6.109999999999966,6.109999999999966
33,92,1,6.1799999999999695,6.1799999999999695,6.039999999999962,6.039999999999962
34,92,2,6.109999999999966,6.109999999999966,-0.5600000000000347,5.969999999999958
35,91,2,6.039999999999962,6.039999999999962,5.899999999999954,5.899999999999954
36,91,1,6.109999999999966,6.109999999999966,5.969999999999958,5.969999999999958
37,90,1,6.039999999999962,6.039999999999962,5.899999999999954,5.899999999999954
38,89,1,5.969999999999958,5.969999999999958,5.82999999999995,5.82999999999995
39,88,1,5.899999999999954,5.899999999999954,5.7599999999999465,5.7599999999999465
40,88,2,5.82999999999995,5.82999999999995,5.689999999999943,5.689999999999943
41,88,0,5.899999999999954,5.969999999999958,5.82999999999995,5.82999999999995
42,87,0,5.82999999999995,5.899999999999954,5.7599999999999465,5.7599999999999465
43,87,1,5.82999999999995,5.82999999999995,5.689999999999943,5.689999999999943
44,89,0,5.969999999999958,6.039999999999962,5.899999999999954,5.899999999999954
45,89,2,5.899999999999954,5.899999999999954,5.7599999999999465,5.7599999999999465
46,90,2,5.969999999999958,5.969999999999958,5.82999999999995,5.82999999999995
47,91,3,5.969999999999958,-0.7000000000000424,5.82999999999995,5.82999999999995
48,91,4,5.899999999999954,-0.7700000000000462,5.7599999999999465,-0.7700000000000462
49,91,5,5.82999999999995,5.82999999999995,5.689999999999943,5.689999999999943
50,92,5,-0.7700000000000453,5.899999999999954,5.7599999999999465,5.7599999999999465
