episode,t,obs,act,rew
0,0,"(0, 19)",1,-0.17
0,1,"(1, 19)",0,-0.17
0,2,"(1, 18)",0,-0.17
0,3,"(1, 17)",0,-0.17
0,4,"(1, 16)",1,-0.17
0,5,"(2, 16)",1,-0.17
0,6,"(3, 16)",1,-0.17
0,7,"(4, 16)",1,-0.17
0,8,"(5, 16)",0,-0.17
0,9,"(5, 15)",1,-0.17
0,10,"(6, 15)",1,-0.17
0,11,"(7, 15)",1,-0.17
0,12,"(8, 15)",1,-0.17
0,13,"(9, 15)",1,-0.17
0,14,"(10, 15)",1,-0.17
0,15,"(11, 15)",2,-0.17
0,16,"(11, 16)",1,-0.17
0,17,"(12, 16)",1,-0.17
0,18,"(13, 16)",0,-0.17
0,19,"(13, 15)",1,-0.17
0,20,"(14, 15)",1,-0.17
0,21,"(15, 15)",1,-0.17
0,22,"(16, 15)",1,-0.17
0,23,"(17, 15)",1,-0.17
0,24,"(18, 15)",1,-0.17
0,25,"(19, 15)",0,-0.17
0,26,"(19, 14)",1,-0.17
0,27,"(20, 14)",0,-0.17
0,28,"(20, 13)",1,-0.17
0,29,"(21, 13)",1,-0.17
0,30,"(22, 13)",0,-0.17
0,31,"(22, 12)",1,-0.17
0,32,"(23, 12)",1,-0.17
0,33,"(24, 12)",1,-0.17
0,34,"(25, 12)",1,-0.17
0,35,"(26, 12)",1,-0.17
0,36,"(27, 12)",1,-0.17
0,37,"(28, 12)",0,-0.17
0,38,"(28, 11)",1,-0.17
0,39,"(29, 11)",1,-0.17
0,40,"(30, 11)",1,-0.17
0,41,"(31, 11)",0,-0.17
0,42,"(31, 10)",0,-0.17
0,43,"(31, 9)",1,-0.17
0,44,"(32, 9)",1,-0.17
0,45,"(33, 9)",1,-0.17
0,46,"(34, 9)",1,-0.17
0,47,"(35, 9)",1,-0.17
0,48,"(36, 9)",1,-0.17
0,49,"(37, 9)",0,-0.17
0,50,"(37, 8)",0,-0.17
0,51,"(37, 7)",1,-0.17
0,52,"(38, 7)",1,-0.17
0,53,"(39, 7)",0,-0.17
0,54,"(39, 6)",0,-0.17
0,55,"(39, 5)",0,-0.17
0,56,"(39, 4)",0,-0.17
0,57,"(39, 3)",0,-0.17
0,58,"(39, 2)",0,-0.17
0,59,"(39, 1)",0,16.67
1,0,"(0, 19)",0,-0.17
1,1,"(0, 18)",1,-0.17
1,2,"(1, 18)",0,-0.17
1,3,"(1, 17)",0,-0.17
1,4,"(1, 16)",1,-0.17
1,5,"(2, 16)",1,-0.17
1,6,"(3, 16)",1,-0.17
1,7,"(4, 16)",1,-0.17
1,8,"(5, 16)",1,-0.17
1,9,"(6, 16)",0,-0.17
1,10,"(6, 15)",1,-0.17
1,11,"(7, 15)",1,-0.17
1,12,"(8, 15)",1,-0.17
1,13,"(9, 15)",1,-0.17
1,14,"(10, 15)",1,-0.17
1,15,"(11, 15)",2,-0.17
1,16,"(11, 16)",1,-0.17
1,17,"(12, 16)",1,-0.17
1,18,"(13, 16)",1,-0.17
1,19,"(14, 16)",0,-0.17
1,20,"(14, 15)",1,-0.17
1,21,"(15, 15)",1,-0.17
1,22,"(16, 15)",1,-0.17
1,23,"(17, 15)",1,-0.17
1,24,"(18, 15)",1,-0.17
1,25,"(19, 15)",1,-0.17
1,26,"(20, 15)",1,-0.17
1,27,"(21, 15)",0,-0.17
1,28,"(21, 14)",0,-0.17
1,29,"(21, 13)",1,-0.17
1,30,"(22, 13)",0,-0.17
1,31,"(22, 12)",1,-0.17
1,32,"(23, 12)",1,-0.17
1,33,"(24, 12)",1,-0.17
1,34,"(25, 12)",1,-0.17
1,35,"(26, 12)",1,-0.17
1,36,"(27, 12)",0,-0.17
1,37,"(27, 11)",1,-0.17
1,38,"(28, 11)",1,-0.17
1,39,"(29, 11)",1,-0.17
1,40,"(30, 11)",1,-0.17
1,41,"(31, 11)",1,-0.17
1,42,"(32, 11)",0,-0.17
1,43,"(32, 10)",0,-0.17
1,44,"(32, 9)",1,-0.17
1,45,"(33, 9)",1,-0.17
1,46,"(34, 9)",1,-0.17
1,47,"(35, 9)",1,-0.17
1,48,"(36, 9)",1,-0.17
1,49,"(37, 9)",0,-0.17
1,50,"(37, 8)",0,-0.17
1,51,"(37, 7)",1,-0.17
1,52,"(38, 7)",1,-0.17
1,53,"(39, 7)",0,-0.17
1,54,"(39, 6)",0,-0.17
1,55,"(39, 5)",0,-0.17
1,56,"(39, 4)",0,-0.17
1,57,"(39, 3)",0,-0.17
1,58,"(39, 2)",0,-0.17
1,59,"(39, 1)",0,16.67
2,0,"(0, 19)",0,-0.17
2,1,"(0, 18)",1,-0.17
2,2,"(1, 18)",0,-0.17
2,3,"(1, 17)",1,-0.17
2,4,"(2, 17)",1,-0.17
2,5,"(3, 17)",0,-0.17
2,6,"(3, 16)",1,-0.17
2,7,"(4, 16)",1,-0.17
2,8,"(5, 16)",1,-0.17
2,9,"(6, 16)",0,-0.17
2,10,"(6, 15)",1,-0.17
2,11,"(7, 15)",1,-0.17
2,12,"(8, 15)",1,-0.17
2,13,"(9, 15)",1,-0.17
2,14,"(10, 15)",1,-0.17
2,15,"(11, 15)",2,-0.17
2,16,"(11, 16)",1,-0.17
2,17,"(12, 16)",1,-0.17
2,18,"(13, 16)",1,-0.17
2,19,"(14, 16)",0,-0.17
2,20,"(14, 15)",1,-0.17
2,21,"(15, 15)",1,-0.17
2,22,"(16, 15)",1,-0.17
2,23,"(17, 15)",1,-0.17
2,24,"(18, 15)",1,-0.17
2,25,"(19, 15)",1,-0.17
2,26,"(20, 15)",1,-0.17
2,27,"(21, 15)",0,-0.17
2,28,"(21, 14)",0,-0.17
2,29,"(21, 13)",1,-0.17
2,30,"(22, 13)",0,-0.17
2,31,"(22, 12)",1,-0.17
2,32,"(23, 12)",1,-0.17
2,33,"(24, 12)",1,-0.17
2,34,"(25, 12)",1,-0.17
2,35,"(26, 12)",1,-0.17
2,36,"(27, 12)",1,-0.17
2,37,"(28, 12)",1,-0.17
2,38,"(29, 12)",0,-0.17
2,39,"(29, 11)",1,-0.17
2,40,"(30, 11)",1,-0.17
2,41,"(31, 11)",1,-0.17
2,42,"(32, 11)",1,-0.17
2,43,"(33, 11)",1,-0.17
2,44,"(34, 11)",1,-0.17
2,45,"(35, 11)",1,-0.17
2,46,"(36, 11)",1,-0.17
2,47,"(37, 11)",1,-0.17
2,48,"(38, 11)",1,-0.17
2,49,"(39, 11)",0,-0.17
2,50,"(39, 10)",0,-0.17
2,51,"(39, 9)",0,-0.17
2,52,"(39, 8)",0,-0.17
2,53,"(39, 7)",0,-0.17
2,54,"(39, 6)",0,-0.17
2,55,"(39, 5)",0,-0.17
2,56,"(39, 4)",0,-0.17
2,57,"(39, 3)",0,-0.17
2,58,"(39, 2)",0,-0.17
2,59,"(39, 1)",0,16.67
3,0,"(0, 19)",0,-0.17
3,1,"(0, 18)",1,-0.17
3,2,"(1, 18)",0,-0.17
3,3,"(1, 17)",1,-0.17
3,4,"(2, 17)",0,-0.17
3,5,"(2, 16)",1,-0.17
3,6,"(3, 16)",1,-0.17
3,7,"(4, 16)",1,-0.17
3,8,"(5, 16)",0,-0.17
3,9,"(5, 15)",1,-0.17
3,10,"(6, 15)",1,-0.17
3,11,"(7, 15)",1,-0.17
3,12,"(8, 15)",1,-0.17
3,13,"(9, 15)",1,-0.17
3,14,"(10, 15)",1,-0.17
3,15,"(11, 15)",2,-0.17
3,16,"(11, 16)",1,-0.17
3,17,"(12, 16)",1,-0.17
3,18,"(13, 16)",0,-0.17
3,19,"(13, 15)",1,-0.17
3,20,"(14, 15)",1,-0.17
3,21,"(15, 15)",1,-0.17
3,22,"(16, 15)",1,-0.17
3,23,"(17, 15)",1,-0.17
3,24,"(18, 15)",1,-0.17
3,25,"(19, 15)",0,-0.17
3,26,"(19, 14)",1,-0.17
3,27,"(20, 14)",0,-0.17
3,28,"(20, 13)",1,-0.17
3,29,"(21, 13)",1,-0.17
3,30,"(22, 13)",0,-0.17
3,31,"(22, 12)",1,-0.17
3,32,"(23, 12)",1,-0.17
3,33,"(24, 12)",1,-0.17
3,34,"(25, 12)",1,-0.17
3,35,"(26, 12)",1,-0.17
3,36,"(27, 12)",0,-0.17
3,37,"(27, 11)",1,-0.17
3,38,"(28, 11)",1,-0.17
3,39,"(29, 11)",1,-0.17
3,40,"(30, 11)",1,-0.17
3,41,"(31, 11)",0,-0.17
3,42,"(31, 10)",0,-0.17
3,43,"(31, 9)",1,-0.17
3,44,"(32, 9)",1,-0.17
3,45,"(33, 9)",1,-0.17
3,46,"(34, 9)",1,-0.17
3,47,"(35, 9)",1,-0.17
3,48,"(36, 9)",1,-0.17
3,49,"(37, 9)",1,-0.17
3,50,"(38, 9)",1,-0.17
3,51,"(39, 9)",0,-0.17
3,52,"(39, 8)",0,-0.17
3,53,"(39, 7)",0,-0.17
3,54,"(39, 6)",0,-0.17
3,55,"(39, 5)",0,-0.17
3,56,"(39, 4)",0,-0.17
3,57,"(39, 3)",0,-0.17
3,58,"(39, 2)",0,-0.17
3,59,"(39, 1)",0,16.67
4,0,"(0, 19)",1,-0.17
4,1,"(1, 19)",0,-0.17
4,2,"(1, 18)",0,-0.17
4,3,"(1, 17)",0,-0.17
4,4,"(1, 16)",1,-0.17
4,5,"(2, 16)",1,-0.17
4,6,"(3, 16)",1,-0.17
4,7,"(4, 16)",1,-0.17
4,8,"(5, 16)",0,-0.17
4,9,"(5, 15)",1,-0.17
4,10,"(6, 15)",1,-0.17
4,11,"(7, 15)",1,-0.17
4,12,"(8, 15)",1,-0.17
4,13,"(9, 15)",1,-0.17
4,14,"(10, 15)",1,-0.17
4,15,"(11, 15)",2,-0.17
4,16,"(11, 16)",1,-0.17
4,17,"(12, 16)",1,-0.17
4,18,"(13, 16)",1,-0.17
4,19,"(14, 16)",0,-0.17
4,20,"(14, 15)",1,-0.17
4,21,"(15, 15)",1,-0.17
4,22,"(16, 15)",1,-0.17
4,23,"(17, 15)",1,-0.17
4,24,"(18, 15)",1,-0.17
4,25,"(19, 15)",0,-0.17
4,26,"(19, 14)",0,-0.17
4,27,"(19, 13)",1,-0.17
4,28,"(20, 13)",1,-0.17
4,29,"(21, 13)",0,-0.17
4,30,"(21, 12)",1,-0.17
4,31,"(22, 12)",1,-0.17
4,32,"(23, 12)",1,-0.17
4,33,"(24, 12)",1,-0.17
4,34,"(25, 12)",1,-0.17
4,35,"(26, 12)",1,-0.17
4,36,"(27, 12)",0,-0.17
4,37,"(27, 11)",1,-0.17
4,38,"(28, 11)",1,-0.17
4,39,"(29, 11)",1,-0.17
4,40,"(30, 11)",1,-0.17
4,41,"(31, 11)",0,-0.17
4,42,"(31, 10)",0,-0.17
4,43,"(31, 9)",1,-0.17
4,44,"(32, 9)",1,-0.17
4,45,"(33, 9)",1,-0.17
4,46,"(34, 9)",1,-0.17
4,47,"(35, 9)",1,-0.17
4,48,"(36, 9)",1,-0.17
4,49,"(37, 9)",0,-0.17
4,50,"(37, 8)",1,-0.17
4,51,"(38, 8)",0,-0.17
4,52,"(38, 7)",1,-0.17
4,53,"(39, 7)",0,-0.17
4,54,"(39, 6)",0,-0.17
4,55,"(39, 5)",0,-0.17
4,56,"(39, 4)",0,-0.17
4,57,"(39, 3)",0,-0.17
4,58,"(39, 2)",0,-0.17
4,59,"(39, 1)",0,16.67
5,0,"(0, 19)",1,-0.17
5,1,"(1, 19)",0,-0.17
5,2,"(1, 18)",0,-0.17
5,3,"(1, 17)",1,-0.17
5,4,"(2, 17)",0,-0.17
5,5,"(2, 16)",1,-0.17
5,6,"(3, 16)",1,-0.17
5,7,"(4, 16)",1,-0.17
5,8,"(5, 16)",1,-0.17
5,9,"(6, 16)",0,-0.17
5,10,"(6, 15)",1,-0.17
5,11,"(7, 15)",1,-0.17
5,12,"(8, 15)",1,-0.17
5,13,"(9, 15)",1,-0.17
5,14,"(10, 15)",1,-0.17
5,15,"(11, 15)",2,-0.17
5,16,"(11, 16)",1,-0.17
5,17,"(12, 16)",1,-0.17
5,18,"(13, 16)",0,-0.17
5,19,"(13, 15)",1,-0.17
5,20,"(14, 15)",1,-0.17
5,21,"(15, 15)",1,-0.17
5,22,"(16, 15)",1,-0.17
5,23,"(17, 15)",1,-0.17
5,24,"(18, 15)",1,-0.17
5,25,"(19, 15)",1,-0.17
5,26,"(20, 15)",0,-0.17
5,27,"(20, 14)",1,-0.17
5,28,"(21, 14)",0,-0.17
5,29,"(21, 13)",0,-0.17
5,30,"(21, 12)",1,-0.17
5,31,"(22, 12)",1,-0.17
5,32,"(23, 12)",1,-0.17
5,33,"(24, 12)",1,-0.17
5,34,"(25, 12)",1,-0.17
5,35,"(26, 12)",1,-0.17
5,36,"(27, 12)",1,-0.17
5,37,"(28, 12)",0,-0.17
5,38,"(28, 11)",1,-0.17
5,39,"(29, 11)",1,-0.17
5,40,"(30, 11)",1,-0.17
5,41,"(31, 11)",0,-0.17
5,42,"(31, 10)",0,-0.17
5,43,"(31, 9)",1,-0.17
5,44,"(32, 9)",1,-0.17
5,45,"(33, 9)",1,-0.17
5,46,"(34, 9)",1,-0.17
5,47,"(35, 9)",1,-0.17
5,48,"(36, 9)",1,-0.17
5,49,"(37, 9)",1,-0.17
5,50,"(38, 9)",1,-0.17
5,51,"(39, 9)",0,-0.17
5,52,"(39, 8)",0,-0.17
5,53,"(39, 7)",0,-0.17
5,54,"(39, 6)",0,-0.17
5,55,"(39, 5)",0,-0.17
5,56,"(39, 4)",0,-0.17
5,57,"(39, 3)",0,-0.17
5,58,"(39, 2)",0,-0.17
5,59,"(39, 1)",0,16.67
6,0,"(0, 19)",1,-0.17
6,1,"(1, 19)",0,-0.17
6,2,"(1, 18)",0,-0.17
6,3,"(1, 17)",0,-0.17
6,4,"(1, 16)",1,-0.17
6,5,"(2, 16)",1,-0.17
6,6,"(3, 16)",1,-0.17
6,7,"(4, 16)",1,-0.17
6,8,"(5, 16)",0,-0.17
6,9,"(5, 15)",1,-0.17
6,10,"(6, 15)",1,-0.17
6,11,"(7, 15)",1,-0.17
6,12,"(8, 15)",1,-0.17
6,13,"(9, 15)",1,-0.17
6,14,"(10, 15)",1,-0.17
6,15,"(11, 15)",2,-0.17
6,16,"(11, 16)",1,-0.17
6,17,"(12, 16)",1,-0.17
6,18,"(13, 16)",1,-0.17
6,19,"(14, 16)",0,-0.17
6,20,"(14, 15)",1,-0.17
6,21,"(15, 15)",1,-0.17
6,22,"(16, 15)",1,-0.17
6,23,"(17, 15)",1,-0.17
6,24,"(18, 15)",1,-0.17
6,25,"(19, 15)",0,-0.17
6,26,"(19, 14)",1,-0.17
6,27,"(20, 14)",0,-0.17
6,28,"(20, 13)",0,-0.17
6,29,"(20, 12)",1,-0.17
6,30,"(21, 12)",1,-0.17
6,31,"(22, 12)",1,-0.17
6,32,"(23, 12)",1,-0.17
