episode,t,obs,act,rew
1,9,"(3, 17)",1,-0.17
1,10,"(4, 17)",1,-0.17
1,11,"(5, 17)",2,-0.17
1,12,"(5, 18)",2,-0.17
1,13,"(5, 19)",1,-0.17
1,14,"(6, 19)",1,-0.17
1,15,"(7, 19)",1,-0.17
1,16,"(8, 19)",1,-0.17
1,17,"(9, 19)",1,-0.17
1,18,"(10, 19)",1,-0.17
1,19,"(11, 19)",1,-0.17
1,20,"(12, 19)",1,-0.17
1,21,"(13, 19)",1,-0.17
1,22,"(14, 19)",1,-0.17
1,23,"(15, 19)",0,-0.17
1,24,"(15, 18)",0,-0.17
1,25,"(15, 17)",3,-0.17
1,26,"(14, 17)",3,-0.17
1,27,"(13, 17)",0,-0.17
1,28,"(13, 16)",0,-0.17
1,29,"(13, 15)",0,-0.17
1,30,"(13, 14)",0,-0.17
1,31,"(13, 13)",3,-0.17
1,32,"(12, 13)",3,-0.17
1,33,"(11, 13)",0,-0.17
1,34,"(11, 12)",0,-0.17
1,35,"(11, 11)",1,-0.17
1,36,"(12, 11)",1,-0.17
1,37,"(13, 11)",1,-0.17
1,38,"(14, 11)",1,-0.17
1,39,"(15, 11)",0,-0.17
1,40,"(15, 10)",0,-0.17
1,41,"(15, 9)",0,-0.17
1,42,"(15, 8)",0,-0.17
1,43,"(15, 7)",0,-0.17
1,44,"(15, 6)",0,-0.17
1,45,"(15, 5)",0,-0.17
1,46,"(15, 4)",0,-0.17
1,47,"(15, 3)",0,-0.17
1,48,"(15, 2)",0,-0.17
1,49,"(15, 1)",1,-0.17
1,50,"(16, 1)",1,-0.17
1,51,"(17, 1)",1,-0.17
1,52,"(18, 1)",1,-0.17
1,53,"(19, 1)",2,-0.17
1,54,"(19, 2)",2,-0.17
1,55,"(19, 3)",2,-0.17
1,56,"(19, 4)",2,-0.17
1,57,"(19, 5)",3,-0.17
1,58,"(18, 5)",3,-0.17
1,59,"(17, 5)",2,-0.17
1,60,"(17, 6)",2,-0.17
1,61,"(17, 7)",2,-0.17
1,62,"(17, 8)",2,-0.17
1,63,"(17, 9)",2,-0.17
1,64,"(17, 10)",2,-0.17
1,65,"(17, 11)",2,-0.17
1,66,"(17, 12)",2,-0.17
1,67,"(17, 13)",2,-0.17
1,68,"(17, 14)",2,-0.17
1,69,"(17, 15)",2,-0.17
1,70,"(17, 16)",2,-0.17
1,71,"(17, 17)",2,-0.17
1,72,"(17, 18)",2,-0.17
1,73,"(17, 19)",1,-0.17
1,74,"(18, 19)",1,-0.17
1,75,"(19, 19)",0,-0.17
1,76,"(19, 18)",0,-0.17
1,77,"(19, 17)",1,-0.17
1,78,"(20, 17)",1,-0.17
1,79,"(21, 17)",2,-0.17
1,80,"(21, 18)",2,-0.17
1,81,"(21, 19)",1,-0.17
1,82,"(22, 19)",1,-0.17
1,83,"(23, 19)",1,-0.17
1,84,"(24, 19)",1,-0.17
1,85,"(25, 19)",1,-0.17
1,86,"(26, 19)",1,-0.17
1,87,"(27, 19)",1,-0.17
1,88,"(28, 19)",1,-0.17
1,89,"(29, 19)",1,-0.17
1,90,"(30, 19)",1,-0.17
1,91,"(31, 19)",0,-0.17
1,92,"(31, 18)",0,-0.17
1,93,"(31, 17)",3,-0.17
1,94,"(30, 17)",3,-0.17
1,95,"(29, 17)",3,-0.17
1,96,"(28, 17)",3,-0.17
1,97,"(27, 17)",0,-0.17
1,98,"(27, 16)",0,-0.17
1,99,"(27, 15)",0,-0.17
1,100,"(27, 14)",0,-0.17
1,101,"(27, 13)",0,-0.17
1,102,"(27, 12)",0,-0.17
1,103,"(27, 11)",1,-0.17
1,104,"(28, 11)",1,-0.17
1,105,"(29, 11)",2,-0.17
1,106,"(29, 12)",2,-0.17
1,107,"(29, 13)",2,-0.17
1,108,"(29, 14)",2,-0.17
1,109,"(29, 15)",1,-0.17
1,110,"(30, 15)",1,-0.17
1,111,"(31, 15)",1,-0.17
1,112,"(32, 15)",1,-0.17
1,113,"(33, 15)",0,-0.17
1,114,"(33, 14)",0,-0.17
1,115,"(33, 13)",3,-0.17
1,116,"(32, 13)",3,-0.17
1,117,"(31, 13)",0,-0.17
1,118,"(31, 12)",0,-0.17
1,119,"(31, 11)",0,-0.17
1,120,"(31, 10)",0,-0.17
1,121,"(31, 9)",1,-0.17
1,122,"(32, 9)",1,-0.17
1,123,"(33, 9)",0,-0.17
1,124,"(33, 8)",0,-0.17
1,125,"(33, 7)",0,-0.17
1,126,"(33, 6)",0,-0.17
1,127,"(33, 5)",0,-0.17
1,128,"(33, 4)",0,-0.17
1,129,"(33, 3)",3,-0.17
1,130,"(32, 3)",3,-0.17
1,131,"(31, 3)",0,-0.17
1,132,"(31, 2)",0,-0.17
1,133,"(31, 1)",1,-0.17
1,134,"(32, 1)",1,-0.17
1,135,"(33, 1)",1,-0.17
1,136,"(34, 1)",1,-0.17
1,137,"(35, 1)",2,-0.17
1,138,"(35, 2)",2,-0.17
1,139,"(35, 3)",1,-0.17
1,140,"(36, 3)",1,-0.17
1,141,"(37, 3)",2,-0.17
1,142,"(37, 4)",2,-0.17
1,143,"(37, 5)",3,-0.17
1,144,"(36, 5)",3,-0.17
1,145,"(35, 5)",2,-0.17
1,146,"(35, 6)",2,-0.17
1,147,"(35, 7)",1,-0.17
1,148,"(36, 7)",1,-0.17
1,149,"(37, 7)",1,-0.17
1,150,"(38, 7)",1,-0.17
1,151,"(39, 7)",0,-0.17
1,152,"(39, 6)",0,-0.17
1,153,"(39, 5)",0,-0.17
1,154,"(39, 4)",0,-0.17
1,155,"(39, 3)",0,-0.17
1,156,"(39, 2)",0,-0.17
1,157,"(39, 1)",0,16.67
2,0,"(0, 19)",0,-0.17
2,1,"(0, 18)",0,-0.17
2,2,"(0, 17)",1,-0.17
2,3,"(1, 17)",0,-0.17
2,4,"(1, 16)",0,-0.17
2,5,"(1, 15)",1,-0.17
2,6,"(2, 15)",1,-0.17
2,7,"(3, 15)",2,-0.17
2,8,"(3, 16)",2,-0.17
2,9,"(3, 17)",1,-0.17
2,10,"(4, 17)",1,-0.17
2,11,"(5, 17)",2,-0.17
2,12,"(5, 18)",2,-0.17
2,13,"(5, 19)",1,-0.17
2,14,"(6, 19)",1,-0.17
2,15,"(7, 19)",1,-0.17
2,16,"(8, 19)",1,-0.17
2,17,"(9, 19)",1,-0.17
2,18,"(10, 19)",1,-0.17
2,19,"(11, 19)",1,-0.17
2,20,"(12, 19)",1,-0.17
2,21,"(13, 19)",1,-0.17
2,22,"(14, 19)",1,-0.17
2,23,"(15, 19)",0,-0.17
2,24,"(15, 18)",0,-0.17
2,25,"(15, 17)",3,-0.17
2,26,"(14, 17)",3,-0.17
2,27,"(13, 17)",0,-0.17
2,28,"(13, 16)",0,-0.17
2,29,"(13, 15)",0,-0.17
2,30,"(13, 14)",0,-0.17
2,31,"(13, 13)",3,-0.17
2,32,"(12, 13)",3,-0.17
2,33,"(11, 13)",0,-0.17
2,34,"(11, 12)",0,-0.17
2,35,"(11, 11)",1,-0.17
2,36,"(12, 11)",1,-0.17
2,37,"(13, 11)",1,-0.17
2,38,"(14, 11)",1,-0.17
2,39,"(15, 11)",0,-0.17
2,40,"(15, 10)",0,-0.17
2,41,"(15, 9)",0,-0.17
2,42,"(15, 8)",0,-0.17
2,43,"(15, 7)",0,-0.17
2,44,"(15, 6)",0,-0.17
2,45,"(15, 5)",0,-0.17
2,46,"(15, 4)",0,-0.17
2,47,"(15, 3)",0,-0.17
2,48,"(15, 2)",0,-0.17
2,49,"(15, 1)",1,-0.17
2,50,"(16, 1)",1,-0.17
2,51,"(17, 1)",1,-0.17
2,52,"(18, 1)",1,-0.17
2,53,"(19, 1)",2,-0.17
2,54,"(19, 2)",2,-0.17
2,55,"(19, 3)",2,-0.17
2,56,"(19, 4)",2,-0.17
2,57,"(19, 5)",3,-0.17
2,58,"(18, 5)",3,-0.17
2,59,"(17, 5)",2,-0.17
2,60,"(17, 6)",2,-0.17
2,61,"(17, 7)",2,-0.17
2,62,"(17, 8)",2,-0.17
2,63,"(17, 9)",2,-0.17
2,64,"(17, 10)",2,-0.17
2,65,"(17, 11)",2,-0.17
2,66,"(17, 12)",2,-0.17
2,67,"(17, 13)",2,-0.17
2,68,"(17, 14)",2,-0.17
2,69,"(17, 15)",2,-0.17
2,70,"(17, 16)",2,-0.17
2,71,"(17, 17)",2,-0.17
2,72,"(17, 18)",2,-0.17
2,73,"(17, 19)",1,-0.17
2,74,"(18, 19)",1,-0.17
2,75,"(19, 19)",0,-0.17
2,76,"(19, 18)",0,-0.17
2,77,"(19, 17)",1,-0.17
2,78,"(20, 17)",1,-0.17
2,79,"(21, 17)",2,-0.17
2,80,"(21, 18)",2,-0.17
2,81,"(21, 19)",1,-0.17
2,82,"(22, 19)",1,-0.17
2,83,"(23, 19)",1,-0.17
2,84,"(24, 19)",1,-0.17
2,85,"(25, 19)",1,-0.17
2,86,"(26, 19)",1,-0.17
2,87,"(27, 19)",1,-0.17
2,88,"(28, 19)",1,-0.17
2,89,"(29, 19)",1,-0.17
2,90,"(30, 19)",1,-0.17
2,91,"(31, 19)",0,-0.17
2,92,"(31, 18)",0,-0.17
2,93,"(31, 17)",3,-0.17
2,94,"(30, 17)",3,-0.17
2,95,"(29, 17)",3,-0.17
2,96,"(28, 17)",3,-0.17
2,97,"(27, 17)",0,-0.17
2,98,"(27, 16)",0,-0.17
2,99,"(27, 15)",0,-0.17
2,100,"(27, 14)",0,-0.17
2,101,"(27, 13)",0,-0.17
2,102,"(27, 12)",0,-0.17
2,103,"(27, 11)",1,-0.17
2,104,"(28, 11)",1,-0.17
2,105,"(29, 11)",2,-0.17
2,106,"(29, 12)",2,-0.17
2,107,"(29, 13)",2,-0.17
2,108,"(29, 14)",2,-0.17
2,109,"(29, 15)",1,-0.17
2,110,"(30, 15)",1,-0.17
2,111,"(31, 15)",1,-0.17
2,112,"(32, 15)",1,-0.17
2,113,"(33, 15)",0,-0.17
2,114,"(33, 14)",0,-0.17
2,115,"(33, 13)",3,-0.17
2,116,"(32, 13)",3,-0.17
2,117,"(31, 13)",0,-0.17
2,118,"(31, 12)",0,-0.17
2,119,"(31, 11)",0,-0.17
2,120,"(31, 10)",0,-0.17
2,121,"(31, 9)",1,-0.17
2,122,"(32, 9)",1,-0.17
2,123,"(33, 9)",0,-0.17
2,124,"(33, 8)",0,-0.17
2,125,"(33, 7)",0,-0.17
2,126,"(33, 6)",0,-0.17
2,127,"(33, 5)",0,-0.17
2,128,"(33, 4)",0,-0.17
2,129,"(33, 3)",3,-0.17
2,130,"(32, 3)",3,-0.17
2,131,"(31, 3)",0,-0.17
2,132,"(31, 2)",0,-0.17
2,133,"(31, 1)",1,-0.17
2,134,"(32, 1)",1,-0.17
2,135,"(33, 1)",1,-0.17
2,136,"(34, 1)",1,-0.17
2,137,"(35, 1)",2,-0.17
2,138,"(35, 2)",2,-0.17
2,139,"(35, 3)",1,-0.17
2,140,"(36, 3)",1,-0.17
2,141,"(37, 3)",2,-0.17
2,142,"(37, 4)",2,-0.17
2,143,"(37, 5)",3,-0.17
2,144,"(36, 5)",3,-0.17
2,145,"(35, 5)",2,-0.17
2,146,"(35, 6)",2,-0.17
2,147,"(35, 7)",1,-0.17
2,148,"(36, 7)",1,-0.17
2,149,"(37, 7)",1,-0.17
2,150,"(38, 7)",1,-0.17
2,151,"(39, 7)",0,-0.17
2,152,"(39, 6)",0,-0.17
2,153,"(39, 5)",0,-0.17
2,154,"(39, 4)",0,-0.17
2,155,"(39, 3)",0,-0.17
2,156,"(39, 2)",0,-0.17
2,157,"(39, 1)",0,16.67
3,0,"(0, 19)",1,-0.17
3,1,"(1, 19)",0,-0.17
3,2,"(1, 18)",0,-0.17
3,3,"(1, 17)",0,-0.17
3,4,"(1, 16)",0,-0.17
3,5,"(1, 15)",1,-0.17
3,6,"(2, 15)",1,-0.17
3,7,"(3, 15)",2,-0.17
3,8,"(3, 16)",2,-0.17
3,9,"(3, 17)",1,-0.17
3,10,"(4, 17)",1,-0.17
3,11,"(5, 17)",2,-0.17
3,12,"(5, 18)",2,-0.17
3,13,"(5, 19)",1,-0.17
3,14,"(6, 19)",1,-0.17
3,15,"(7, 19)",1,-0.17
3,16,"(8, 19)",1,-0.17
3,17,"(9, 19)",1,-0.17
3,18,"(10, 19)",1,-0.17
3,19,"(11, 19)",1,-0.17
3,20,"(12, 19)",1,-0.17
3,21,"(13, 19)",1,-0.17
3,22,"(14, 19)",1,-0.17
3,23,"(15, 19)",0,-0.17
3,24,"(15, 18)",0,-0.17
3,25,"(15, 17)",3,-0.17
3,26,"(14, 17)",3,-0.17
3,27,"(13, 17)",0,-0.17
3,28,"(13, 16)",0,-0.17
3,29,"(13, 15)",0,-0.17
3,30,"(13, 14)",0,-0.17
3,31,"(13, 13)",3,-0.17
3,32,"(12, 13)",3,-0.17
3,33,"(11, 13)",0,-0.17
3,34,"(11, 12)",0,-0.17
3,35,"(11, 11)",1,-0.17
3,36,"(12, 11)",1,-0.17
3,37,"(13, 11)",1,-0.17
3,38,"(14, 11)",1,-0.17
3,39,"(15, 11)",0,-0.17
3,40,"(15, 10)",0,-0.17
3,41,"(15, 9)",0,-0.17
3,42,"(15, 8)",0,-0.17
3,43,"(15, 7)",0,-0.17
3,44,"(15, 6)",0,-0.17
3,45,"(15, 5)",0,-0.17
3,46,"(15, 4)",0,-0.17
3,47,"(15, 3)",0,-0.17
3,48,"(15, 2)",0,-0.17
3,49,"(15, 1)",1,-0.17
3,50,"(16, 1)",1,-0.17
3,51,"(17, 1)",1,-0.17
3,52,"(18, 1)",1,-0.17
3,53,"(19, 1)",2,-0.17
3,54,"(19, 2)",2,-0.17
3,55,"(19, 3)",2,-0.17
3,56,"(19, 4)",2,-0.17
3,57,"(19, 5)",3,-0.17
3,58,"(18, 5)",3,-0.17
3,59,"(17, 5)",2,-0.17
3,60,"(17, 6)",2,-0.17
3,61,"(17, 7)",2,-0.17
3,62,"(17, 8)",2,-0.17
3,63,"(17, 9)",2,-0.17
3,64,"(17, 10)",2,-0.17
3,65,"(17, 11)",2,-0.17
3,66,"(17, 12)",2,-0.17
3,67,"(17, 13)",2,-0.17
3,68,"(17, 14)",2,-0.17
3,69,"(17, 15)",2,-0.17
3,70,"(17, 16)",2,-0.17
3,71,"(17, 17)",2,-0.17
3,72,"(17, 18)",2,-0.17
3,73,"(17, 19)",1,-0.17
3,74,"(18, 19)",1,-0.17
3,75,"(19, 19)",0,-0.17
3,76,"(19, 18)",0,-0.17
3,77,"(19, 17)",1,-0.17
3,78,"(20, 17)",1,-0.17
3,79,"(21, 17)",2,-0.17
3,80,"(21, 18)",2,-0.17
3,81,"(21, 19)",1,-0.17
3,82,"(22, 19)",1,-0.17
3,83,"(23, 19)",1,-0.17
3,84,"(24, 19)",1,-0.17
3,85,"(25, 19)",1,-0.17
3,86,"(26, 19)",1,-0.17
3,87,"(27, 19)",1,-0.17
3,88,"(28, 19)",1,-0.17
3,89,"(29, 19)",1,-0.17
3,90,"(30, 19)",1,-0.17
3,91,"(31, 19)",0,-0.17
3,92,"(31, 18)",0,-0.17
3,93,"(31, 17)",3,-0.17
3,94,"(30, 17)",3,-0.17
3,95,"(29, 17)",3,-0.17
3,96,"(28, 17)",3,-0.17
3,97,"(27, 17)",0,-0.17
3,98,"(27, 16)",0,-0.17
3,99,"(27, 15)",0,-0.17
3,100,"(27, 14)",0,-0.17
3,101,"(27, 13)",0,-0.17
3,102,"(27, 12)",0,-0.17
3,103,"(27, 11)",1,-0.17
3,104,"(28, 11)",1,-0.17
3,105,"(29, 11)",2,-0.17
3,106,"(29, 12)",2,-0.17
3,107,"(29, 13)",2,-0.17
3,108,"(29, 14)",2,-0.17
3,109,"(29, 15)",1,-0.17
3,110,"(30, 15)",1,-0.17
3,111,"(31, 15)",1,-0.17
3,112,"(32, 15)",1,-0.17
3,113,"(33, 15)",0,-0.17
3,114,"(33, 14)",0,-0.17
3,115,"(33, 13)",3,-0.17
3,116,"(32, 13)",3,-0.17
3,117,"(31, 13)",0,-0.17
3,118,"(31, 12)",0,-0.17
3,119,"(31, 11)",0,-0.17
3,120,"(31, 10)",0,-0.17
3,121,"(31, 9)",1,-0.17
3,122,"(32, 9)",1,-0.17
3,123,"(33, 9)",0,-0.17
3,124,"(33, 8)",0,-0.17
3,125,"(33, 7)",0,-0.17
3,126,"(33, 6)",0,-0.17
3,127,"(33, 5)",0,-0.17
3,128,"(33, 4)",0,-0.17
3,129,"(33, 3)",3,-0.17
3,130,"(32, 3)",3,-0.17
3,131,"(31, 3)",0,-0.17
3,132,"(31, 2)",0,-0.17
3,133,"(31, 1)",1,-0.17
3,134,"(32, 1)",1,-0.17
3,135,"(33, 1)",1,-0.17
3,136,"(34, 1)",1,-0.17
3,137,"(35, 1)",2,-0.17
3,138,"(35, 2)",2,-0.17
3,139,"(35, 3)",1,-0.17
3,140,"(36, 3)",1,-0.17
3,141,"(37, 3)",2,-0.17
3,142,"(37, 4)",2,-0.17
3,143,"(37, 5)",3,-0.17
3,144,"(36, 5)",3,-0.17
3,145,"(35, 5)",2,-0.17
3,146,"(35, 6)",2,-0.17
3,147,"(35, 7)",1,-0.17
3,148,"(36, 7)",1,-0.17
3,149,"(37, 7)",1,-0.17
3,150,"(38, 7)",1,-0.17
3,151,"(39, 7)",0,-0.17
3,152,"(39, 6)",0,-0.17
3,153,"(39, 5)",0,-0.17
3,154,"(39, 4)",0,-0.17
3,155,"(39, 3)",0,-0.17
3,156,"(39, 2)",0,-0.17
3,157,"(39, 1)",0,16.67
4,0,"(0, 19)",1,-0.17
4,1,"(1, 19)",0,-0.17
4,2,"(1, 18)",0,-0.17
4,3,"(1, 17)",0,-0.17
4,4,"(1, 16)",0,-0.17
4,5,"(1, 15)",1,-0.17
4,6,"(2, 15)",1,-0.17
4,7,"(3, 15)",2,-0.17
4,8,"(3, 16)",2,-0.17
4,9,"(3, 17)",1,-0.17
4,10,"(4, 17)",1,-0.17
4,11,"(5, 17)",2,-0.17
4,12,"(5, 18)",2,-0.17
4,13,"(5, 19)",1,-0.17
4,14,"(6, 19)",1,-0.17
4,15,"(7, 19)",1,-0.17
4,16,"(8, 19)",1,-0.17
