episode,t,obs,act,rew
0,0,"(0, 19)",0,-0.17
0,1,"(0, 18)",0,-0.17
0,2,"(0, 17)",1,-0.17
0,3,"(1, 17)",0,-0.17
0,4,"(1, 16)",0,-0.17
0,5,"(1, 15)",1,-0.17
0,6,"(2, 15)",1,-0.17
0,7,"(3, 15)",0,-16.67
0,8,"(3, 15)",1,-16.67
0,9,"(3, 15)",2,-0.17
0,10,"(3, 16)",2,-0.17
0,11,"(3, 17)",1,-0.17
0,12,"(4, 17)",1,-0.17
0,13,"(5, 17)",1,-0.17
0,14,"(6, 17)",1,-0.17
0,15,"(7, 17)",1,-0.17
0,16,"(8, 17)",1,-0.17
0,17,"(9, 17)",1,-16.67
0,18,"(9, 17)",0,-0.17
0,19,"(9, 16)",0,-0.17
0,20,"(9, 15)",1,-0.17
0,21,"(10, 15)",1,-0.17
0,22,"(11, 15)",2,-0.17
0,23,"(11, 16)",1,-0.17
0,24,"(12, 16)",1,-0.17
0,25,"(13, 16)",1,-16.67
0,26,"(13, 16)",2,-0.17
0,27,"(13, 17)",1,-0.17
0,28,"(14, 17)",1,-0.17
0,29,"(15, 17)",1,-0.17
0,30,"(16, 17)",1,-0.17
0,31,"(17, 17)",0,-0.17
0,32,"(17, 16)",0,-0.17
0,33,"(17, 15)",1,-0.17
0,34,"(18, 15)",1,-0.17
0,35,"(19, 15)",1,-0.17
0,36,"(20, 15)",1,-0.17
0,37,"(21, 15)",1,-0.17
0,38,"(22, 15)",1,-0.17
0,39,"(23, 15)",1,-0.17
0,40,"(24, 15)",1,-0.17
0,41,"(25, 15)",1,-16.67
0,42,"(25, 15)",2,-0.17
0,43,"(25, 16)",2,-0.17
0,44,"(25, 17)",3,-0.17
0,45,"(24, 17)",2,-0.17
0,46,"(24, 18)",2,-0.17
0,47,"(24, 19)",1,-0.17
0,48,"(25, 19)",1,-0.17
0,49,"(26, 19)",1,-0.17
0,50,"(27, 19)",0,-0.17
0,51,"(27, 18)",0,-0.17
0,52,"(27, 17)",1,-0.17
0,53,"(28, 17)",0,-16.67
0,54,"(28, 17)",3,-0.17
0,55,"(27, 17)",0,-0.17
0,56,"(27, 16)",0,-0.17
0,57,"(27, 15)",1,-0.17
0,58,"(28, 15)",1,-0.17
0,59,"(29, 15)",1,-0.17
0,60,"(30, 15)",1,-0.17
0,61,"(31, 15)",1,-0.17
0,62,"(32, 15)",1,-0.17
0,63,"(33, 15)",0,-0.17
0,64,"(33, 14)",0,-0.17
0,65,"(33, 13)",1,-0.17
0,66,"(34, 13)",1,-0.17
0,67,"(35, 13)",0,-0.17
0,68,"(35, 12)",0,-0.17
0,69,"(35, 11)",0,-0.17
0,70,"(35, 10)",0,-0.17
0,71,"(35, 9)",1,-0.17
0,72,"(36, 9)",1,-0.17
0,73,"(37, 9)",1,-0.17
0,74,"(38, 9)",0,-0.17
0,75,"(38, 8)",0,-0.17
0,76,"(38, 7)",1,-0.17
0,77,"(39, 7)",0,-0.17
0,78,"(39, 6)",0,-0.17
0,79,"(39, 5)",0,-0.17
0,80,"(39, 4)",0,-0.17
0,81,"(39, 3)",0,-0.17
0,82,"(39, 2)",0,-0.17
0,83,"(39, 1)",0,16.67
1,0,"(0, 19)",1,-0.17
1,1,"(1, 19)",1,-0.17
1,2,"(2, 19)",1,-0.17
1,3,"(3, 19)",1,-16.67
1,4,"(3, 19)",0,-16.67
1,5,"(3, 19)",3,-0.17
1,6,"(2, 19)",3,-0.17
1,7,"(1, 19)",0,-0.17
1,8,"(1, 18)",0,-0.17
1,9,"(1, 17)",0,-0.17
1,10,"(1, 16)",1,-16.67
1,11,"(1, 16)",0,-0.17
