episode,t,obs,act,rew
0,0,"(0, 29)",0,-0.11
0,1,"(0, 28)",1,-0.11
0,2,"(1, 28)",0,-0.11
0,3,"(1, 27)",1,-0.11
0,4,"(2, 27)",1,-0.11
0,5,"(3, 27)",2,-0.11
0,6,"(3, 28)",2,-0.11
0,7,"(3, 29)",1,-0.11
0,8,"(4, 29)",1,-0.11
0,9,"(5, 29)",0,-0.11
0,10,"(5, 28)",0,-0.11
0,11,"(5, 27)",0,-0.11
0,12,"(5, 26)",0,-0.11
0,13,"(5, 25)",1,-0.11
0,14,"(6, 25)",1,-0.11
0,15,"(7, 25)",0,-0.11
0,16,"(7, 24)",0,-0.11
0,17,"(7, 23)",1,-0.11
0,18,"(8, 23)",1,-0.11
0,19,"(9, 23)",1,-0.11
0,20,"(10, 23)",1,-0.11
0,21,"(11, 23)",2,-0.11
0,22,"(11, 24)",2,-0.11
0,23,"(11, 25)",1,-0.11
0,24,"(12, 25)",1,-0.11
0,25,"(13, 25)",0,-0.11
0,26,"(13, 24)",0,-0.11
0,27,"(13, 23)",1,-0.11
0,28,"(14, 23)",1,-0.11
0,29,"(15, 23)",1,-0.11
0,30,"(16, 23)",1,-0.11
0,31,"(17, 23)",1,-0.11
0,32,"(18, 23)",1,-0.11
0,33,"(19, 23)",1,-0.11
0,34,"(20, 23)",1,-0.11
0,35,"(21, 23)",1,-0.11
0,36,"(22, 23)",1,-0.11
0,37,"(23, 23)",1,-0.11
0,38,"(24, 23)",1,-0.11
0,39,"(25, 23)",0,-0.11
0,40,"(25, 22)",1,-0.11
0,41,"(26, 22)",1,-0.11
0,42,"(27, 22)",0,-0.11
0,43,"(27, 21)",0,-0.11
0,44,"(27, 20)",0,-0.11
0,45,"(27, 19)",1,-0.11
0,46,"(28, 19)",1,-0.11
0,47,"(29, 19)",0,-0.11
0,48,"(29, 18)",0,-0.11
0,49,"(29, 17)",0,-0.11
0,50,"(29, 16)",0,-0.11
0,51,"(29, 15)",1,-0.11
0,52,"(30, 15)",1,-0.11
0,53,"(31, 15)",1,-0.11
0,54,"(32, 15)",1,-0.11
0,55,"(33, 15)",1,-0.11
0,56,"(34, 15)",1,-0.11
0,57,"(35, 15)",1,-0.11
0,58,"(36, 15)",1,-0.11
0,59,"(37, 15)",2,-0.11
0,60,"(37, 16)",2,-0.11
0,61,"(37, 17)",2,-0.11
0,62,"(37, 18)",2,-0.11
0,63,"(37, 19)",1,-0.11
0,64,"(38, 19)",1,-0.11
0,65,"(39, 19)",1,-0.11
0,66,"(40, 19)",1,-0.11
0,67,"(41, 19)",1,-0.11
0,68,"(42, 19)",1,-0.11
0,69,"(43, 19)",0,-0.11
0,70,"(43, 18)",1,-0.11
0,71,"(44, 18)",1,-0.11
0,72,"(45, 18)",0,-0.11
0,73,"(45, 17)",0,-0.11
0,74,"(45, 16)",0,-0.11
0,75,"(45, 15)",1,-0.11
0,76,"(46, 15)",1,-0.11
0,77,"(47, 15)",1,-0.11
0,78,"(48, 15)",1,-0.11
0,79,"(49, 15)",1,-0.11
0,80,"(50, 15)",1,-0.11
0,81,"(51, 15)",1,-0.11
0,82,"(52, 15)",1,-0.11
0,83,"(53, 15)",1,-0.11
0,84,"(54, 15)",1,-0.11
0,85,"(55, 15)",1,-0.11
0,86,"(56, 15)",1,-0.11
0,87,"(57, 15)",2,-0.11
0,88,"(57, 16)",2,-0.11
0,89,"(57, 17)",2,-0.11
0,90,"(57, 18)",2,-0.11
0,91,"(57, 19)",1,-0.11
0,92,"(58, 19)",1,-0.11
0,93,"(59, 19)",0,-0.11
0,94,"(59, 18)",0,-0.11
0,95,"(59, 17)",0,-0.11
0,96,"(59, 16)",0,-0.11
0,97,"(59, 15)",0,-0.11
0,98,"(59, 14)",0,-0.11
0,99,"(59, 13)",3,-0.11
0,100,"(58, 13)",3,-0.11
0,101,"(57, 13)",3,-0.11
0,102,"(56, 13)",3,-0.11
0,103,"(55, 13)",3,-0.11
0,104,"(54, 13)",0,-0.11
0,105,"(54, 12)",0,-0.11
0,106,"(54, 11)",1,-0.11
0,107,"(55, 11)",0,-0.11
0,108,"(55, 10)",0,-0.11
0,109,"(55, 9)",0,-0.11
0,110,"(55, 8)",0,-0.11
0,111,"(55, 7)",0,-0.11
0,112,"(55, 6)",0,-0.11
0,113,"(55, 5)",1,-0.11
0,114,"(56, 5)",1,-0.11
0,115,"(57, 5)",0,-0.11
0,116,"(57, 4)",0,-0.11
0,117,"(57, 3)",0,-0.11
0,118,"(57, 2)",0,-0.11
0,119,"(57, 1)",1,-0.11
