episode,t,obs,act,rew
0,0,"(0, 29)",1,-0.11
0,1,"(1, 29)",1,-11.11
0,2,"(1, 29)",0,-0.11
0,3,"(1, 28)",1,-11.11
0,4,"(1, 28)",0,-0.11
0,5,"(1, 27)",1,-0.11
0,6,"(2, 27)",1,-0.11
0,7,"(3, 27)",2,-0.11
0,8,"(3, 28)",2,-0.11
0,9,"(3, 29)",1,-0.11
0,10,"(4, 29)",1,-0.11
0,11,"(5, 29)",0,-0.11
0,12,"(5, 28)",0,-0.11
0,13,"(5, 27)",0,-0.11
0,14,"(5, 26)",0,-0.11
0,15,"(5, 25)",1,-0.11
0,16,"(6, 25)",1,-0.11
0,17,"(7, 25)",0,-0.11
0,18,"(7, 24)",0,-0.11
0,19,"(7, 23)",1,-0.11
0,20,"(8, 23)",1,-0.11
0,21,"(9, 23)",1,-0.11
0,22,"(10, 23)",2,-11.11
0,23,"(10, 23)",1,-0.11
0,24,"(11, 23)",2,-0.11
0,25,"(11, 24)",2,-0.11
0,26,"(11, 25)",1,-0.11
0,27,"(12, 25)",1,-0.11
0,28,"(13, 25)",1,-0.11
0,29,"(14, 25)",1,-0.11
0,30,"(15, 25)",2,-0.11
0,31,"(15, 26)",2,-0.11
0,32,"(15, 27)",2,-0.11
0,33,"(15, 28)",2,-0.11
0,34,"(15, 29)",1,-0.11
0,35,"(16, 29)",1,-0.11
0,36,"(17, 29)",1,-0.11
0,37,"(18, 29)",1,-0.11
0,38,"(19, 29)",1,-0.11
0,39,"(20, 29)",1,-0.11
0,40,"(21, 29)",1,-0.11
0,41,"(22, 29)",1,-0.11
0,42,"(23, 29)",1,-0.11
0,43,"(24, 29)",1,-0.11
0,44,"(25, 29)",1,-0.11
0,45,"(26, 29)",1,-0.11
0,46,"(27, 29)",1,-0.11
0,47,"(28, 29)",1,-0.11
0,48,"(29, 29)",0,-0.11
0,49,"(29, 28)",0,-0.11
0,50,"(29, 27)",1,-0.11
0,51,"(30, 27)",1,-0.11
0,52,"(31, 27)",1,-0.11
0,53,"(32, 27)",1,-0.11
0,54,"(33, 27)",1,-0.11
0,55,"(34, 27)",1,-0.11
0,56,"(35, 27)",0,-0.11
0,57,"(35, 26)",0,-0.11
0,58,"(35, 25)",0,-0.11
0,59,"(35, 24)",0,-0.11
0,60,"(35, 23)",1,-0.11
0,61,"(36, 23)",1,-0.11
0,62,"(37, 23)",0,-0.11
0,63,"(37, 22)",1,-0.11
0,64,"(38, 22)",1,-0.11
0,65,"(39, 22)",0,-0.11
0,66,"(39, 21)",0,-0.11
0,67,"(39, 20)",0,-0.11
0,68,"(39, 19)",1,-0.11
0,69,"(40, 19)",1,-0.11
0,70,"(41, 19)",1,-0.11
0,71,"(42, 19)",1,-0.11
0,72,"(43, 19)",0,-0.11
0,73,"(43, 18)",1,-0.11
0,74,"(44, 18)",1,-0.11
0,75,"(45, 18)",0,-0.11
0,76,"(45, 17)",0,-0.11
0,77,"(45, 16)",0,-0.11
0,78,"(45, 15)",1,-0.11
0,79,"(46, 15)",1,-0.11
0,80,"(47, 15)",1,-0.11
0,81,"(48, 15)",1,-0.11
0,82,"(49, 15)",1,-0.11
0,83,"(50, 15)",1,-0.11
0,84,"(51, 15)",1,-0.11
0,85,"(52, 15)",1,-0.11
0,86,"(53, 15)",1,-0.11
0,87,"(54, 15)",1,-0.11
0,88,"(55, 15)",1,-0.11
0,89,"(56, 15)",1,-0.11
0,90,"(57, 15)",2,-0.11
0,91,"(57, 16)",2,-0.11
0,92,"(57, 17)",2,-0.11
0,93,"(57, 18)",2,-0.11
0,94,"(57, 19)",1,-0.11
0,95,"(58, 19)",1,-0.11
0,96,"(59, 19)",0,-0.11
0,97,"(59, 18)",0,-0.11
0,98,"(59, 17)",0,-0.11
0,99,"(59, 16)",0,-0.11
0,100,"(59, 15)",0,-0.11
0,101,"(59, 14)",0,-0.11
0,102,"(59, 13)",3,-0.11
0,103,"(58, 13)",3,-0.11
0,104,"(57, 13)",3,-0.11
0,105,"(56, 13)",3,-0.11
0,106,"(55, 13)",3,-0.11
0,107,"(54, 13)",0,-0.11
0,108,"(54, 12)",0,-0.11
0,109,"(54, 11)",1,-0.11
0,110,"(55, 11)",0,-0.11
0,111,"(55, 10)",0,-0.11
0,112,"(55, 9)",0,-0.11
0,113,"(55, 8)",0,-0.11
0,114,"(55, 7)",0,-0.11
0,115,"(55, 6)",0,-0.11
0,116,"(55, 5)",1,-0.11
0,117,"(56, 5)",1,-0.11
0,118,"(57, 5)",0,-0.11
0,119,"(57, 4)",0,-0.11
0,120,"(57, 3)",0,-0.11
0,121,"(57, 2)",0,-0.11
0,122,"(57, 1)",0,-0.11
0,123,"(57, 0)",1,-0.11
0,124,"(58, 0)",1,11.11
1,0,"(0, 29)",0,-0.11
1,1,"(0, 28)",1,-0.11
1,2,"(1, 28)",0,-0.11
1,3,"(1, 27)",1,-0.11
1,4,"(2, 27)",1,-0.11
1,5,"(3, 27)",1,-11.11
1,6,"(3, 27)",0,-11.11
1,7,"(3, 27)",2,-0.11
1,8,"(3, 28)",1,-11.11
1,9,"(3, 28)",2,-0.11
1,10,"(3, 29)",1,-0.11
1,11,"(4, 29)",1,-0.11
1,12,"(5, 29)",1,-0.11
1,13,"(6, 29)",1,-0.11
1,14,"(7, 29)",0,-0.11
1,15,"(7, 28)",0,-0.11
1,16,"(7, 27)",1,-0.11
1,17,"(8, 27)",1,-0.11
1,18,"(9, 27)",1,-0.11
1,19,"(10, 27)",1,-0.11
1,20,"(11, 27)",2,-0.11
1,21,"(11, 28)",2,-0.11
1,22,"(11, 29)",1,-0.11
1,23,"(12, 29)",1,-0.11
1,24,"(13, 29)",1,-11.11
1,25,"(13, 29)",3,-0.11
1,26,"(12, 29)",3,-0.11
1,27,"(11, 29)",0,-0.11
1,28,"(11, 28)",0,-0.11
1,29,"(11, 27)",3,-0.11
1,30,"(10, 27)",3,-0.11
