episode,t,obs,act,rew
2,23,"(15, 14)",0,-0.17
2,24,"(15, 13)",1,-0.17
2,25,"(16, 13)",1,-0.17
2,26,"(17, 13)",0,-0.17
2,27,"(17, 12)",0,-0.17
2,28,"(17, 11)",0,-0.17
2,29,"(17, 10)",1,-0.17
2,30,"(18, 10)",1,-0.17
2,31,"(19, 10)",0,-0.17
2,32,"(19, 9)",1,-0.17
2,33,"(20, 9)",1,-0.17
2,34,"(21, 9)",1,-0.17
2,35,"(22, 9)",1,-0.17
2,36,"(23, 9)",1,-0.17
2,37,"(24, 9)",1,-0.17
2,38,"(25, 9)",1,-0.17
2,39,"(26, 9)",1,-0.17
2,40,"(27, 9)",1,-0.17
2,41,"(28, 9)",1,-0.17
2,42,"(29, 9)",1,-16.67
2,43,"(29, 9)",0,-0.17
2,44,"(29, 8)",0,-0.17
2,45,"(29, 7)",1,-0.17
2,46,"(30, 7)",1,-0.17
2,47,"(31, 7)",0,-0.17
2,48,"(31, 6)",0,-0.17
2,49,"(31, 5)",0,-0.17
2,50,"(31, 4)",0,-0.17
2,51,"(31, 3)",1,-0.17
2,52,"(32, 3)",1,-0.17
2,53,"(33, 3)",0,-0.17
2,54,"(33, 2)",1,-0.17
2,55,"(34, 2)",1,-0.17
2,56,"(35, 2)",1,-0.17
2,57,"(36, 2)",2,-0.17
2,58,"(36, 3)",1,-0.17
2,59,"(37, 3)",1,-0.17
2,60,"(38, 3)",0,-0.17
2,61,"(38, 2)",0,-0.17
2,62,"(38, 1)",1,-0.17
2,63,"(39, 1)",0,16.67
3,0,"(0, 19)",0,-0.17
3,1,"(0, 18)",0,-0.17
3,2,"(0, 17)",1,-0.17
3,3,"(1, 17)",0,-0.17
3,4,"(1, 16)",0,-0.17
3,5,"(1, 15)",1,-0.17
3,6,"(2, 15)",1,-0.17
3,7,"(3, 15)",0,-16.67
3,8,"(3, 15)",1,-16.67
3,9,"(3, 15)",2,-0.17
3,10,"(3, 16)",2,-0.17
3,11,"(3, 17)",1,-0.17
3,12,"(4, 17)",1,-0.17
3,13,"(5, 17)",1,-0.17
3,14,"(6, 17)",1,-0.17
3,15,"(7, 17)",1,-0.17
3,16,"(8, 17)",1,-0.17
3,17,"(9, 17)",1,-0.17
3,18,"(10, 17)",1,-0.17
3,19,"(11, 17)",0,-0.17
3,20,"(11, 16)",1,-0.17
3,21,"(12, 16)",1,-0.17
3,22,"(13, 16)",0,-0.17
3,23,"(13, 15)",0,-0.17
3,24,"(13, 14)",1,-0.17
3,25,"(14, 14)",1,-0.17
3,26,"(15, 14)",1,-0.17
3,27,"(16, 14)",0,-0.17
3,28,"(16, 13)",1,-0.17
3,29,"(17, 13)",0,-0.17
3,30,"(17, 12)",0,-0.17
3,31,"(17, 11)",0,-0.17
3,32,"(17, 10)",1,-0.17
3,33,"(18, 10)",1,-0.17
3,34,"(19, 10)",0,-0.17
3,35,"(19, 9)",1,-0.17
3,36,"(20, 9)",1,-0.17
3,37,"(21, 9)",1,-0.17
3,38,"(22, 9)",1,-0.17
3,39,"(23, 9)",1,-0.17
3,40,"(24, 9)",1,-0.17
3,41,"(25, 9)",1,-0.17
3,42,"(26, 9)",1,-0.17
3,43,"(27, 9)",1,-0.17
3,44,"(28, 9)",1,-0.17
3,45,"(29, 9)",1,-16.67
3,46,"(29, 9)",0,-0.17
3,47,"(29, 8)",0,-0.17
3,48,"(29, 7)",1,-0.17
3,49,"(30, 7)",1,-0.17
3,50,"(31, 7)",0,-0.17
3,51,"(31, 6)",0,-0.17
3,52,"(31, 5)",0,-0.17
3,53,"(31, 4)",0,-0.17
3,54,"(31, 3)",1,-0.17
3,55,"(32, 3)",1,-0.17
3,56,"(33, 3)",0,-0.17
3,57,"(33, 2)",1,-0.17
3,58,"(34, 2)",1,-0.17
3,59,"(35, 2)",1,-0.17
3,60,"(36, 2)",2,-0.17
3,61,"(36, 3)",1,-0.17
3,62,"(37, 3)",1,-0.17
3,63,"(38, 3)",0,-0.17
3,64,"(38, 2)",0,-0.17
3,65,"(38, 1)",1,-0.17
3,66,"(39, 1)",0,16.67
4,0,"(0, 19)",0,-0.17
4,1,"(0, 18)",1,-0.17
4,2,"(1, 18)",0,-0.17
4,3,"(1, 17)",1,-0.17
4,4,"(2, 17)",0,-0.17
4,5,"(2, 16)",0,-0.17
4,6,"(2, 15)",0,-0.17
4,7,"(2, 14)",1,-16.67
4,8,"(2, 14)",0,-0.17
4,9,"(2, 13)",0,-0.17
4,10,"(2, 12)",0,-0.17
4,11,"(2, 11)",0,-0.17
4,12,"(2, 10)",0,-0.17
4,13,"(2, 9)",1,-0.17
4,14,"(3, 9)",1,-0.17
4,15,"(4, 9)",0,-0.17
4,16,"(4, 8)",1,-0.17
4,17,"(5, 8)",1,-16.67
4,18,"(5, 8)",0,-0.17
4,19,"(5, 7)",1,-0.17
4,20,"(6, 7)",1,-0.17
4,21,"(7, 7)",0,-0.17
4,22,"(7, 6)",0,-0.17
4,23,"(7, 5)",1,-0.17
4,24,"(8, 5)",1,-0.17
4,25,"(9, 5)",1,-0.17
4,26,"(10, 5)",1,-0.17
4,27,"(11, 5)",1,-0.17
4,28,"(12, 5)",1,-0.17
4,29,"(13, 5)",1,-0.17
4,30,"(14, 5)",1,-0.17
4,31,"(15, 5)",1,-0.17
4,32,"(16, 5)",1,-0.17
4,33,"(17, 5)",1,-0.17
4,34,"(18, 5)",1,-0.17
4,35,"(19, 5)",1,-0.17
4,36,"(20, 5)",1,-0.17
4,37,"(21, 5)",0,-0.17
4,38,"(21, 4)",1,-0.17
4,39,"(22, 4)",1,-0.17
4,40,"(23, 4)",0,-0.17
4,41,"(23, 3)",1,-0.17
4,42,"(24, 3)",1,-0.17
4,43,"(25, 3)",1,-0.17
4,44,"(26, 3)",1,-0.17
4,45,"(27, 3)",1,-0.17
4,46,"(28, 3)",1,-0.17
4,47,"(29, 3)",1,-0.17
4,48,"(30, 3)",1,-0.17
4,49,"(31, 3)",1,-0.17
4,50,"(32, 3)",1,-0.17
4,51,"(33, 3)",0,-0.17
4,52,"(33, 2)",1,-0.17
