episode,t,obs,act,rew
0,0,"(0, 29)",1,-0.11
0,1,"(1, 29)",0,-0.11
0,2,"(1, 28)",0,-0.11
0,3,"(1, 27)",1,-0.11
0,4,"(2, 27)",1,-0.11
0,5,"(3, 27)",1,-0.11
0,6,"(4, 27)",1,-0.11
0,7,"(5, 27)",1,-0.11
0,8,"(6, 27)",1,-0.11
0,9,"(7, 27)",0,-0.11
0,10,"(7, 26)",1,-0.11
0,11,"(8, 26)",1,-0.11
0,12,"(9, 26)",0,-0.11
0,13,"(9, 25)",1,-0.11
0,14,"(10, 25)",0,-0.11
0,15,"(10, 24)",1,-0.11
0,16,"(11, 24)",1,-0.11
0,17,"(12, 24)",0,-0.11
0,18,"(12, 23)",1,-0.11
0,19,"(13, 23)",1,-0.11
0,20,"(14, 23)",0,-0.11
0,21,"(14, 22)",0,-0.11
0,22,"(14, 21)",0,-0.11
0,23,"(14, 20)",0,-0.11
0,24,"(14, 19)",1,-0.11
0,25,"(15, 19)",1,-0.11
0,26,"(16, 19)",0,-0.11
0,27,"(16, 18)",1,-0.11
0,28,"(17, 18)",1,-0.11
0,29,"(18, 18)",1,-0.11
0,30,"(19, 18)",0,-0.11
0,31,"(19, 17)",0,-0.11
0,32,"(19, 16)",0,-0.11
0,33,"(19, 15)",1,-0.11
0,34,"(20, 15)",1,-0.11
0,35,"(21, 15)",0,-0.11
0,36,"(21, 14)",1,-0.11
0,37,"(22, 14)",0,-0.11
0,38,"(22, 13)",0,-0.11
0,39,"(22, 12)",1,-0.11
0,40,"(23, 12)",1,-0.11
0,41,"(24, 12)",0,-0.11
0,42,"(24, 11)",0,-0.11
0,43,"(24, 10)",1,-0.11
0,44,"(25, 10)",0,-0.11
0,45,"(25, 9)",0,-0.11
0,46,"(25, 8)",1,-0.11
0,47,"(26, 8)",0,-0.11
0,48,"(26, 7)",0,-0.11
0,49,"(26, 6)",0,-0.11
0,50,"(26, 5)",1,-0.11
0,51,"(27, 5)",1,-0.11
0,52,"(28, 5)",0,-0.11
0,53,"(28, 4)",0,-0.11
0,54,"(28, 3)",1,-0.11
0,55,"(29, 3)",1,-0.11
0,56,"(30, 3)",0,-0.11
0,57,"(30, 2)",0,-0.11
0,58,"(30, 1)",1,-0.11
0,59,"(31, 1)",1,-0.11
0,60,"(32, 1)",1,-0.11
0,61,"(33, 1)",1,-0.11
0,62,"(34, 1)",1,-0.11
0,63,"(35, 1)",1,-0.11
0,64,"(36, 1)",1,-0.11
0,65,"(37, 1)",1,-0.11
0,66,"(38, 1)",1,-0.11
0,67,"(39, 1)",1,-0.11
0,68,"(40, 1)",1,-0.11
0,69,"(41, 1)",1,-0.11
0,70,"(42, 1)",1,-0.11
0,71,"(43, 1)",1,-0.11
0,72,"(44, 1)",1,-0.11
0,73,"(45, 1)",1,-0.11
0,74,"(46, 1)",1,-0.11
0,75,"(47, 1)",1,-0.11
0,76,"(48, 1)",0,-0.11
0,77,"(48, 0)",1,-0.11
0,78,"(49, 0)",1,-0.11
0,79,"(50, 0)",1,-0.11
0,80,"(51, 0)",1,-0.11
0,81,"(52, 0)",1,-0.11
0,82,"(53, 0)",1,-0.11
0,83,"(54, 0)",1,-0.11
0,84,"(55, 0)",1,-0.11
0,85,"(56, 0)",1,-0.11
0,86,"(57, 0)",1,-0.11
0,87,"(58, 0)",1,11.11
1,0,"(0, 29)",1,-0.11
1,1,"(1, 29)",0,-0.11
1,2,"(1, 28)",1,-0.11
1,3,"(2, 28)",1,-0.11
1,4,"(3, 28)",0,-0.11
1,5,"(3, 27)",0,-0.11
1,6,"(3, 26)",0,-0.11
1,7,"(3, 25)",0,-0.11
1,8,"(3, 24)",1,-0.11
1,9,"(4, 24)",0,-0.11
1,10,"(4, 23)",0,-0.11
1,11,"(4, 22)",0,-0.11
1,12,"(4, 21)",1,-0.11
1,13,"(5, 21)",1,-0.11
1,14,"(6, 21)",1,-0.11
1,15,"(7, 21)",1,-0.11
1,16,"(8, 21)",1,-0.11
1,17,"(9, 21)",1,-0.11
1,18,"(10, 21)",0,-0.11
1,19,"(10, 20)",1,-0.11
1,20,"(11, 20)",1,-0.11
1,21,"(12, 20)",0,-0.11
1,22,"(12, 19)",1,-0.11
1,23,"(13, 19)",1,-0.11
1,24,"(14, 19)",1,-0.11
1,25,"(15, 19)",1,-0.11
1,26,"(16, 19)",0,-0.11
1,27,"(16, 18)",0,-0.11
1,28,"(16, 17)",1,-0.11
1,29,"(17, 17)",0,-0.11
1,30,"(17, 16)",0,-0.11
1,31,"(17, 15)",1,-0.11
1,32,"(18, 15)",0,-0.11
1,33,"(18, 14)",1,-0.11
1,34,"(19, 14)",0,-0.11
1,35,"(19, 13)",0,-0.11
1,36,"(19, 12)",0,-0.11
1,37,"(19, 11)",0,-0.11
1,38,"(19, 10)",0,-0.11
1,39,"(19, 9)",1,-0.11
1,40,"(20, 9)",1,-0.11
1,41,"(21, 9)",0,-0.11
1,42,"(21, 8)",0,-0.11
1,43,"(21, 7)",0,-0.11
1,44,"(21, 6)",0,-0.11
1,45,"(21, 5)",0,-0.11
1,46,"(21, 4)",0,-0.11
1,47,"(21, 3)",0,-0.11
1,48,"(21, 2)",1,-0.11
1,49,"(22, 2)",1,-0.11
1,50,"(23, 2)",0,-0.11
1,51,"(23, 1)",1,-0.11
1,52,"(24, 1)",1,-0.11
1,53,"(25, 1)",1,-0.11
1,54,"(26, 1)",1,-0.11
1,55,"(27, 1)",1,-0.11
1,56,"(28, 1)",1,-0.11
1,57,"(29, 1)",1,-0.11
1,58,"(30, 1)",1,-0.11
1,59,"(31, 1)",1,-0.11
1,60,"(32, 1)",1,-0.11
1,61,"(33, 1)",1,-0.11
1,62,"(34, 1)",1,-0.11
1,63,"(35, 1)",1,-0.11
1,64,"(36, 1)",1,-0.11
1,65,"(37, 1)",1,-0.11
1,66,"(38, 1)",1,-0.11
1,67,"(39, 1)",1,-0.11
1,68,"(40, 1)",1,-0.11
1,69,"(41, 1)",1,-0.11
1,70,"(42, 1)",1,-0.11
1,71,"(43, 1)",1,-0.11
1,72,"(44, 1)",1,-0.11
1,73,"(45, 1)",1,-0.11
1,74,"(46, 1)",1,-0.11
1,75,"(47, 1)",1,-0.11
1,76,"(48, 1)",0,-0.11
1,77,"(48, 0)",1,-0.11
1,78,"(49, 0)",1,-0.11
1,79,"(50, 0)",1,-0.11
1,80,"(51, 0)",1,-0.11
1,81,"(52, 0)",1,-0.11
1,82,"(53, 0)",1,-0.11
1,83,"(54, 0)",1,-0.11
1,84,"(55, 0)",1,-0.11
1,85,"(56, 0)",1,-0.11
1,86,"(57, 0)",1,-0.11
1,87,"(58, 0)",1,11.11
2,0,"(0, 29)",1,-0.11
2,1,"(1, 29)",1,-0.11
2,2,"(2, 29)",0,-0.11
2,3,"(2, 28)",1,-0.11
2,4,"(3, 28)",0,-0.11
2,5,"(3, 27)",1,-0.11
2,6,"(4, 27)",0,-0.11
2,7,"(4, 26)",1,-0.11
2,8,"(5, 26)",0,-0.11
2,9,"(5, 25)",1,-0.11
2,10,"(6, 25)",1,-0.11
2,11,"(7, 25)",0,-0.11
2,12,"(7, 24)",0,-0.11
2,13,"(7, 23)",1,-0.11
2,14,"(8, 23)",1,-0.11
2,15,"(9, 23)",0,-0.11
2,16,"(9, 22)",0,-0.11
2,17,"(9, 21)",1,-0.11
2,18,"(10, 21)",1,-0.11
2,19,"(11, 21)",1,-0.11
2,20,"(12, 21)",0,-0.11
2,21,"(12, 20)",0,-0.11
2,22,"(12, 19)",1,-0.11
2,23,"(13, 19)",0,-0.11
2,24,"(13, 18)",0,-0.11
2,25,"(13, 17)",1,-0.11
2,26,"(14, 17)",0,-0.11
2,27,"(14, 16)",0,-0.11
2,28,"(14, 15)",1,-0.11
2,29,"(15, 15)",0,-0.11
2,30,"(15, 14)",0,-0.11
2,31,"(15, 13)",0,-0.11
2,32,"(15, 12)",0,-0.11
2,33,"(15, 11)",1,-0.11
2,34,"(16, 11)",1,-0.11
2,35,"(17, 11)",0,-0.11
2,36,"(17, 10)",0,-0.11
2,37,"(17, 9)",1,-0.11
2,38,"(18, 9)",0,-0.11
2,39,"(18, 8)",1,-0.11
2,40,"(19, 8)",0,-0.11
2,41,"(19, 7)",0,-0.11
2,42,"(19, 6)",1,-0.11
2,43,"(20, 6)",0,-0.11
2,44,"(20, 5)",0,-0.11
2,45,"(20, 4)",1,-0.11
2,46,"(21, 4)",0,-0.11
2,47,"(21, 3)",1,-0.11
2,48,"(22, 3)",1,-0.11
2,49,"(23, 3)",0,-0.11
2,50,"(23, 2)",0,-0.11
2,51,"(23, 1)",1,-0.11
2,52,"(24, 1)",1,-0.11
2,53,"(25, 1)",1,-0.11
2,54,"(26, 1)",1,-0.11
2,55,"(27, 1)",1,-0.11
2,56,"(28, 1)",1,-0.11
2,57,"(29, 1)",1,-0.11
2,58,"(30, 1)",1,-0.11
2,59,"(31, 1)",1,-0.11
2,60,"(32, 1)",1,-0.11
2,61,"(33, 1)",1,-0.11
2,62,"(34, 1)",1,-0.11
2,63,"(35, 1)",1,-0.11
2,64,"(36, 1)",1,-0.11
2,65,"(37, 1)",1,-0.11
2,66,"(38, 1)",1,-0.11
2,67,"(39, 1)",1,-0.11
2,68,"(40, 1)",1,-0.11
2,69,"(41, 1)",1,-0.11
2,70,"(42, 1)",1,-0.11
2,71,"(43, 1)",1,-0.11
2,72,"(44, 1)",1,-0.11
2,73,"(45, 1)",1,-0.11
2,74,"(46, 1)",1,-0.11
2,75,"(47, 1)",1,-0.11
2,76,"(48, 1)",1,-0.11
2,77,"(49, 1)",0,-0.11
2,78,"(49, 0)",1,-0.11
2,79,"(50, 0)",1,-0.11
2,80,"(51, 0)",1,-0.11
2,81,"(52, 0)",1,-0.11
2,82,"(53, 0)",1,-0.11
2,83,"(54, 0)",1,-0.11
2,84,"(55, 0)",1,-0.11
2,85,"(56, 0)",1,-0.11
2,86,"(57, 0)",1,-0.11
2,87,"(58, 0)",1,11.11
3,0,"(0, 29)",0,-0.11
3,1,"(0, 28)",1,-0.11
3,2,"(1, 28)",0,-0.11
3,3,"(1, 27)",1,-0.11
3,4,"(2, 27)",1,-0.11
3,5,"(3, 27)",0,-0.11
3,6,"(3, 26)",0,-0.11
3,7,"(3, 25)",0,-0.11
3,8,"(3, 24)",1,-0.11
3,9,"(4, 24)",1,-0.11
3,10,"(5, 24)",0,-0.11
3,11,"(5, 23)",1,-0.11
3,12,"(6, 23)",1,-0.11
3,13,"(7, 23)",0,-0.11
3,14,"(7, 22)",1,-0.11
3,15,"(8, 22)",0,-0.11
3,16,"(8, 21)",1,-0.11
3,17,"(9, 21)",1,-0.11
3,18,"(10, 21)",1,-0.11
3,19,"(11, 21)",0,-0.11
3,20,"(11, 20)",0,-0.11
3,21,"(11, 19)",0,-0.11
3,22,"(11, 18)",0,-0.11
3,23,"(11, 17)",0,-0.11
3,24,"(11, 16)",1,-0.11
3,25,"(12, 16)",0,-0.11
3,26,"(12, 15)",0,-0.11
3,27,"(12, 14)",1,-0.11
3,28,"(13, 14)",1,-0.11
3,29,"(14, 14)",1,-0.11
3,30,"(15, 14)",1,-0.11
3,31,"(16, 14)",0,-0.11
3,32,"(16, 13)",1,-0.11
3,33,"(17, 13)",0,-0.11
3,34,"(17, 12)",0,-0.11
3,35,"(17, 11)",0,-0.11
3,36,"(17, 10)",0,-0.11
3,37,"(17, 9)",1,-0.11
3,38,"(18, 9)",0,-0.11
3,39,"(18, 8)",0,-0.11
3,40,"(18, 7)",1,-0.11
3,41,"(19, 7)",1,-0.11
3,42,"(20, 7)",1,-0.11
3,43,"(21, 7)",0,-0.11
3,44,"(21, 6)",1,-0.11
3,45,"(22, 6)",0,-0.11
3,46,"(22, 5)",1,-0.11
3,47,"(23, 5)",0,-0.11
3,48,"(23, 4)",1,-0.11
3,49,"(24, 4)",1,-0.11
3,50,"(25, 4)",0,-0.11
3,51,"(25, 3)",1,-0.11
3,52,"(26, 3)",1,-0.11
3,53,"(27, 3)",1,-0.11
3,54,"(28, 3)",1,-0.11
3,55,"(29, 3)",0,-0.11
3,56,"(29, 2)",0,-0.11
3,57,"(29, 1)",1,-0.11
3,58,"(30, 1)",1,-0.11
3,59,"(31, 1)",1,-0.11
3,60,"(32, 1)",1,-0.11
3,61,"(33, 1)",1,-0.11
3,62,"(34, 1)",1,-0.11
3,63,"(35, 1)",1,-0.11
3,64,"(36, 1)",1,-0.11
3,65,"(37, 1)",1,-0.11
3,66,"(38, 1)",1,-0.11
3,67,"(39, 1)",1,-0.11
3,68,"(40, 1)",1,-0.11
3,69,"(41, 1)",1,-0.11
3,70,"(42, 1)",1,-0.11
3,71,"(43, 1)",1,-0.11
3,72,"(44, 1)",1,-0.11
3,73,"(45, 1)",1,-0.11
3,74,"(46, 1)",1,-0.11
3,75,"(47, 1)",1,-0.11
3,76,"(48, 1)",1,-0.11
3,77,"(49, 1)",1,-0.11
3,78,"(50, 1)",1,-0.11
3,79,"(51, 1)",0,-0.11
3,80,"(51, 0)",1,-0.11
3,81,"(52, 0)",1,-0.11
3,82,"(53, 0)",1,-0.11
3,83,"(54, 0)",1,-0.11
3,84,"(55, 0)",1,-0.11
3,85,"(56, 0)",1,-0.11
3,86,"(57, 0)",1,-0.11
3,87,"(58, 0)",1,11.11
4,0,"(0, 29)",0,-0.11
4,1,"(0, 28)",0,-0.11
4,2,"(0, 27)",0,-0.11
4,3,"(0, 26)",0,-0.11
4,4,"(0, 25)",1,-0.11
4,5,"(1, 25)",0,-0.11
4,6,"(1, 24)",1,-0.11
4,7,"(2, 24)",0,-0.11
4,8,"(2, 23)",0,-0.11
4,9,"(2, 22)",0,-0.11
4,10,"(2, 21)",1,-0.11
4,11,"(3, 21)",1,-0.11
4,12,"(4, 21)",0,-0.11
4,13,"(4, 20)",0,-0.11
4,14,"(4, 19)",1,-0.11
4,15,"(5, 19)",1,-0.11
4,16,"(6, 19)",1,-0.11
4,17,"(7, 19)",1,-0.11
4,18,"(8, 19)",1,-0.11
4,19,"(9, 19)",1,-0.11
4,20,"(10, 19)",0,-0.11
4,21,"(10, 18)",1,-0.11
4,22,"(11, 18)",0,-0.11
4,23,"(11, 17)",1,-0.11
4,24,"(12, 17)",1,-0.11
4,25,"(13, 17)",0,-0.11
4,26,"(13, 16)",1,-0.11
4,27,"(14, 16)",1,-0.11
4,28,"(15, 16)",1,-0.11
4,29,"(16, 16)",0,-0.11
4,30,"(16, 15)",1,-0.11
4,31,"(17, 15)",1,-0.11
4,32,"(18, 15)",1,-0.11
4,33,"(19, 15)",1,-0.11
4,34,"(20, 15)",0,-0.11
4,35,"(20, 14)",0,-0.11
4,36,"(20, 13)",1,-0.11
4,37,"(21, 13)",1,-0.11
4,38,"(22, 13)",0,-0.11
4,39,"(22, 12)",0,-0.11
4,40,"(22, 11)",1,-0.11
4,41,"(23, 11)",0,-0.11
4,42,"(23, 10)",1,-0.11
4,43,"(24, 10)",1,-0.11
4,44,"(25, 10)",1,-0.11
4,45,"(26, 10)",0,-0.11
4,46,"(26, 9)",1,-0.11
4,47,"(27, 9)",0,-0.11
4,48,"(27, 8)",0,-0.11
4,49,"(27, 7)",0,-0.11
4,50,"(27, 6)",0,-0.11
4,51,"(27, 5)",1,-0.11
4,52,"(28, 5)",0,-0.11
4,53,"(28, 4)",0,-0.11
4,54,"(28, 3)",1,-0.11
4,55,"(29, 3)",0,-0.11
4,56,"(29, 2)",0,-0.11
4,57,"(29, 1)",1,-0.11
4,58,"(30, 1)",1,-0.11
4,59,"(31, 1)",1,-0.11
4,60,"(32, 1)",1,-0.11
4,61,"(33, 1)",1,-0.11
4,62,"(34, 1)",1,-0.11
4,63,"(35, 1)",1,-0.11
4,64,"(36, 1)",1,-0.11
4,65,"(37, 1)",1,-0.11
4,66,"(38, 1)",1,-0.11
4,67,"(39, 1)",1,-0.11
4,68,"(40, 1)",1,-0.11
4,69,"(41, 1)",1,-0.11
4,70,"(42, 1)",1,-0.11
4,71,"(43, 1)",1,-0.11
4,72,"(44, 1)",1,-0.11
4,73,"(45, 1)",1,-0.11
4,74,"(46, 1)",1,-0.11
4,75,"(47, 1)",1,-0.11
4,76,"(48, 1)",0,-0.11
4,77,"(48, 0)",1,-0.11
4,78,"(49, 0)",1,-0.11
4,79,"(50, 0)",1,-0.11
4,80,"(51, 0)",1,-0.11
4,81,"(52, 0)",1,-0.11
4,82,"(53, 0)",1,-0.11
4,83,"(54, 0)",1,-0.11
4,84,"(55, 0)",1,-0.11
4,85,"(56, 0)",1,-0.11
4,86,"(57, 0)",1,-0.11
4,87,"(58, 0)",1,11.11
5,0,"(0, 29)",0,-0.11
5,1,"(0, 28)",0,-0.11
5,2,"(0, 27)",1,-0.11
5,3,"(1, 27)",1,-0.11
5,4,"(2, 27)",1,-0.11
5,5,"(3, 27)",1,-0.11
5,6,"(4, 27)",1,-0.11
5,7,"(5, 27)",0,-0.11
5,8,"(5, 26)",0,-0.11
5,9,"(5, 25)",1,-0.11
5,10,"(6, 25)",0,-0.11
5,11,"(6, 24)",1,-0.11
5,12,"(7, 24)",0,-0.11
5,13,"(7, 23)",1,-0.11
5,14,"(8, 23)",0,-0.11
5,15,"(8, 22)",0,-0.11
5,16,"(8, 21)",0,-0.11
5,17,"(8, 20)",0,-0.11
5,18,"(8, 19)",1,-0.11
5,19,"(9, 19)",1,-0.11
5,20,"(10, 19)",1,-0.11
5,21,"(11, 19)",1,-0.11
5,22,"(12, 19)",1,-0.11
5,23,"(13, 19)",1,-0.11
5,24,"(14, 19)",1,-0.11
5,25,"(15, 19)",1,-0.11
5,26,"(16, 19)",1,-0.11
5,27,"(17, 19)",0,-0.11
5,28,"(17, 18)",1,-0.11
5,29,"(18, 18)",0,-0.11
5,30,"(18, 17)",0,-0.11
5,31,"(18, 16)",1,-0.11
5,32,"(19, 16)",0,-0.11
5,33,"(19, 15)",0,-0.11
5,34,"(19, 14)",0,-0.11
5,35,"(19, 13)",1,-0.11
5,36,"(20, 13)",1,-0.11
5,37,"(21, 13)",1,-0.11
5,38,"(22, 13)",0,-0.11
5,39,"(22, 12)",1,-0.11
5,40,"(23, 12)",1,-0.11
5,41,"(24, 12)",1,-0.11
